user_id,trial_id,part,video_path,question,category,gt_answer,frames,frame_110_rating,frame_150_rating,frame_160_rating,frame_170_rating,frame_175_rating,frame_190_rating,frame_200_rating,frame_220_rating,frame_230_rating,frame_240_rating,ratings_list,good_datapoint,comment,reaction_time_ms,timestamp
sahil,73,2,images/NExTVideo/0052/5455648195.mp4,Is the baby touching telephone?,Semantic,no,"[110, 150, 160, 170, 175, 190, 200, 220, 230, 240]",8,10,9,4,8,5,10,6,5,6,"[8, 10, 9, 4, 8, 5, 10, 6, 5, 6]",yes,,6469756,2026-04-30T21:37:20.732334
sahil,102,2,images/NExTVideo/0026/5986131986.mp4,Is the girl left of the tree?,Geometric,yes,"[117, 138, 185, 201, 211, 223, 235, 246, 273, 289]",10,10,10,6,3,2,5,6,10,10,"[10, 10, 10, 6, 3, 2, 5, 6, 10, 10]",yes,,38682,2026-04-30T21:38:02.644173
sahil,88,2,images/NExTVideo/0061/3530395394.mp4,Is there a pig in the picture?,Semantic,[yes yes],"[830, 835, 840, 850, 855, 880, 890, 900, 905, 910]",10,10,10,7,6,1,3,5,7,8,"[10, 10, 10, 7, 6, 1, 3, 5, 7, 8]",yes,,45829,2026-04-30T21:38:51.689677
sahil,81,2,images/NExTVideo/0055/8727084602.mp4,Is the cat on laptop?,Geometric,yes,"[1700, 1800, 1850, 1920, 1940, 1945, 1950, 1951, 1955, 1960]",8,10,7,7,5,4,3,2,9,10,"[8, 10, 7, 7, 5, 4, 3, 2, 9, 10]",yes,,107479,2026-04-30T21:40:42.395830
sahil,98,2,images/NExTVideo/0009/11566930393.mp4,Is the child standing?,Semantic,no,"[0, 252, 231, 196, 472, 555, 790, 782, 784, 792]",10,10,7,8,6,10,3,7,6,3,"[10, 10, 7, 8, 6, 10, 3, 7, 6, 3]",no,its not very symmetrical datapoint as in all the images it is looking like child is sitting,258020,2026-04-30T21:45:03.651576
sahil,92,2,images/NExTVideo/0004/9525696229.mp4,Is the children on the sand?,Geometric,yes,"[0, 74, 120, 138, 159, 231, 170, 188, 206, 221]",10,10,9,8,7,8,4,3,9,10,"[10, 10, 9, 8, 7, 8, 4, 3, 9, 10]",yes,,40129,2026-04-30T21:45:47.004096
sahil,97,2,images/NExTVideo/0008/6320611157.mp4,Is the toddler sitting?,Semantic,no,"[0, 972, 1004, 1024, 1032, 1187, 1201, 1291, 1654, 1757]",10,8,7,6,5,4,7,7,8,10,"[10, 8, 7, 6, 5, 4, 7, 7, 8, 10]",yes,,58169,2026-04-30T21:46:48.395366
sahil,58,2,images/NExTVideo/1105/2623764605.mp4,Are there exactly 2 cats on the floor mat?,Geometric,[yes yes],"[145, 160, 185, 207, 208, 320, 330, 340, 350, 360]",9,10,10,10,10,10,5,6,9,4,"[9, 10, 10, 10, 10, 10, 5, 6, 9, 4]",no,too many points have ans yes,53906,2026-04-30T21:47:45.497991
sahil,94,2,images/NExTVideo/0005/3250020598.mp4,Is the baby laying on the floor?,Semantic,yes,"[661, 643, 632, 512, 497, 479, 457, 448, 423, 2]",10,8,8,6,5,4,6,7,10,10,"[10, 8, 8, 6, 5, 4, 6, 7, 10, 10]",yes,,24381,2026-04-30T21:48:13.084330
sahil,90,2,images/NExTVideo/0002/10192494165.mp4,Is the book on baby lap?,Geometric,yes,"[63, 75, 86, 94, 101, 110, 142, 159, 175, 188]",9,9,7,5,4,3,7,6,8,10,"[9, 9, 7, 5, 4, 3, 7, 6, 8, 10]",yes,,70426,2026-04-30T21:49:26.732120
