user_id,trial_id,type,filename,question,response,confidence,correct,gt,reaction_time_ms,timestamp,category
66d4738c2f559095b16e34bb,16,image,frame_1699.png,Is the baby standing?,n/a,5,False,yes,10633,2026-03-16T16:50:45.662869,semantic
66d4738c2f559095b16e34bb,28,image,frame_0170.png,Is the black dog on the sofa?,yes,1,False,no,6566,2026-03-16T16:50:55.492344,compositional
66d4738c2f559095b16e34bb,3,image,frame_0393.png,Is the boy on the vehicle?,n/a,5,False,no,6148,2026-03-16T16:51:04.852825,geometric
66d4738c2f559095b16e34bb,21,image,frame_0067.png,Is the black dog on the sofa?,no,1,False,yes,6085,2026-03-16T16:51:14.169933,compositional
66d4738c2f559095b16e34bb,20,image,frame_1878.png,Is the baby standing?,n/a,5,False,yes,3941,2026-03-16T16:51:21.345139,semantic
66d4738c2f559095b16e34bb,1,image,frame_0380.png,Is the boy on the vehicle?,no,1,True,no,6102,2026-03-16T16:51:30.655588,geometric
66d4738c2f559095b16e34bb,27,image,frame_0160.png,Is the black dog on the sofa?,yes,1,False,no,5407,2026-03-16T16:51:39.308517,compositional
66d4738c2f559095b16e34bb,4,image,frame_0395.png,Is the boy on the vehicle?,n/a,5,False,no,4660,2026-03-16T16:51:47.206295,geometric
66d4738c2f559095b16e34bb,15,image,frame_1477.png,Is the baby standing?,no,2,False,yes,5943,2026-03-16T16:51:56.360557,semantic
66d4738c2f559095b16e34bb,6,image,frame_0408.png,Is the boy on the vehicle?,n/a,5,False,no,4507,2026-03-16T16:52:04.092580,geometric
66d4738c2f559095b16e34bb,13,image,frame_0514.png,Is the baby standing?,no,1,True,no,6510,2026-03-16T16:52:13.827931,semantic
66d4738c2f559095b16e34bb,30,image,frame_0193.png,Is the black dog on the sofa?,yes,1,False,no,4784,2026-03-16T16:52:21.883293,compositional
66d4738c2f559095b16e34bb,19,image,frame_1776.png,Is the baby standing?,yes,1,True,yes,5741,2026-03-16T16:52:30.858692,semantic
66d4738c2f559095b16e34bb,9,image,frame_0417.png,Is the boy on the vehicle?,yes,1,True,yes,4832,2026-03-16T16:52:38.943064,geometric
66d4738c2f559095b16e34bb,26,image,frame_0150.png,Is the black dog on the sofa?,yes,1,False,no,5790,2026-03-16T16:52:47.978667,compositional
66d4738c2f559095b16e34bb,18,image,frame_1753.png,Is the baby standing?,yes,1,True,yes,5547,2026-03-16T16:52:56.780117,semantic
66d4738c2f559095b16e34bb,24,image,frame_0100.png,Is the black dog on the sofa?,n/a,5,False,yes,6281,2026-03-16T16:53:06.305428,compositional
66d4738c2f559095b16e34bb,5,image,frame_0398.png,Is the boy on the vehicle?,n/a,5,False,no,2989,2026-03-16T16:53:12.523946,geometric
66d4738c2f559095b16e34bb,17,image,frame_1741.png,Is the baby standing?,yes,3,True,yes,4680,2026-03-16T16:53:20.469903,semantic
66d4738c2f559095b16e34bb,8,image,frame_0415.png,Is the boy on the vehicle?,yes,1,True,yes,3750,2026-03-16T16:53:27.440569,geometric
66d4738c2f559095b16e34bb,23,image,frame_0085.png,Is the black dog on the sofa?,n/a,5,False,yes,6808,2026-03-16T16:53:37.497611,compositional
66d4738c2f559095b16e34bb,14,image,frame_0582.png,Is the baby standing?,n/a,5,False,no,3799,2026-03-16T16:53:44.536695,semantic
66d4738c2f559095b16e34bb,29,image,frame_0190.png,Is the black dog on the sofa?,yes,1,False,no,5637,2026-03-16T16:53:53.416266,compositional
66d4738c2f559095b16e34bb,7,image,frame_0412.png,Is the boy on the vehicle?,yes,1,True,yes,5865,2026-03-16T16:54:02.506624,geometric
66d4738c2f559095b16e34bb,11,image,frame_0346.png,Is the baby standing?,n/a,5,False,no,4783,2026-03-16T16:54:10.541633,semantic
66d4738c2f559095b16e34bb,10,image,frame_0419.png,Is the boy on the vehicle?,yes,1,True,yes,4017,2026-03-16T16:54:17.810472,geometric
66d4738c2f559095b16e34bb,22,image,frame_0080.png,Is the black dog on the sofa?,n/a,5,False,yes,4777,2026-03-16T16:54:25.845233,compositional
66d4738c2f559095b16e34bb,2,image,frame_0387.png,Is the boy on the vehicle?,no,1,True,no,5643,2026-03-16T16:54:34.718964,geometric
66d4738c2f559095b16e34bb,12,image,frame_0497.png,Is the baby standing?,no,4,True,no,5565,2026-03-16T16:54:43.507799,semantic
66d4738c2f559095b16e34bb,25,image,frame_0123.png,Is the black dog on the sofa?,n/a,5,False,no,7213,2026-03-16T16:54:53.994734,compositional
