user_id,trial_id,part,video_path,question,category,gt_answer,frames,frame_560_rating,frame_565_rating,frame_568_rating,frame_570_rating,frame_573_rating,frame_575_rating,frame_580_rating,frame_585_rating,frame_590_rating,frame_594_rating,ratings_list,good_datapoint,comment,reaction_time_ms,timestamp
Kalash,44,1,images/NExTVideo/1101/3321261856.mp4,Is th toddle lifting her right leg?,Semantic,yes,"[560, 565, 568, 570, 573, 575, 580, 585, 590, 594]",2,10,9,9,3,7,10,4,10,10,"[2, 10, 9, 9, 3, 7, 10, 4, 10, 10]",yes,,145010,2026-05-01T04:36:20.930838
Kalash,18,1,images/NExTVideo/0101/4740074365.mp4,Is the bride at the left of the groom?,Geometric,yes,"[80, 100, 125, 140, 150, 250, 260, 270, 300, 330]",10,10,7,5,3,3,5,7,10,10,"[10, 10, 7, 5, 3, 3, 5, 7, 10, 10]",yes,,72779,2026-05-01T04:37:36.902199
Kalash,56,1,images/NExTVideo/1104/4839268164.mp4,Is the boy drinking from the yellow cup?,Semantic,[no no],"[268, 270, 273, 278, 283, 284, 286, 290, 294, 299]",10,10,10,10,3,3,10,10,10,10,"[10, 10, 10, 10, 3, 3, 10, 10, 10, 10]",yes,,58667,2026-05-01T04:38:38.772620
Kalash,43,1,images/NExTVideo/1101/3397265196.mp4,Are there 4 men on the stage?,Geometric,yes,"[79, 89, 100, 104, 123, 132, 136, 140, 144, 148]",1,3,10,10,10,10,10,10,10,5,"[1, 3, 10, 10, 10, 10, 10, 10, 10, 5]",yes,,61031,2026-05-01T04:39:43.011946
Kalash,20,1,images/NExTVideo/1000/2594144360.mp4,Is the baby sitting on the floor?,Semantic,no,"[140, 143, 145, 147, 150, 151, 152, 153, 154, 155]",10,10,10,5,3,3,1,10,10,10,"[10, 10, 10, 5, 3, 3, 1, 10, 10, 10]",yes,,78848,2026-05-01T04:41:05.085678
Kalash,32,1,images/NExTVideo/1000/3824469712.mp4,Is the boy on the vehicle?,Geometric,no,"[380, 387, 393, 395, 398, 408, 412, 415, 417, 419]",10,10,10,3,3,5,10,10,10,10,"[10, 10, 10, 3, 3, 5, 10, 10, 10, 10]",yes,,78756,2026-05-01T04:42:27.078070
Kalash,45,1,images/NExTVideo/1101/3483300439.mp4,Is the military lady shaking hands with the military man?,Semantic,yes,"[273, 274, 275, 278, 279, 280, 281, 285, 287, 290]",10,10,10,10,6,1,1,3,6,10,"[10, 10, 10, 10, 6, 1, 1, 3, 6, 10]",yes,,117686,2026-05-01T04:44:27.985937
Kalash,41,1,images/NExTVideo/1101/2558039818.mp4,Is the baby on the right side of the man?,Geometric,no,"[582, 615, 623, 635, 644, 650, 666, 689, 700, 724]",10,10,10,1,1,4,4,5,6,7,"[10, 10, 10, 1, 1, 4, 4, 5, 6, 7]",yes,,85107,2026-05-01T04:45:56.333208
Kalash,38,1,images/NExTVideo/1001/2667165452.mp4,Is the woman looking towards her left?,Semantic,yes,"[0, 28, 35, 36, 37, 38, 39, 40, 41, 45]",10,10,10,5,7,9,10,10,10,10,"[10, 10, 10, 5, 7, 9, 10, 10, 10, 10]",no,"Only one frame is kind of uncertain, I would rephrase the question as it is woman looking towards her right, then it would be a good datapoint, in that case there would be 3 uncertain frames",169332,2026-05-01T04:48:48.867509
Kalash,33,1,images/NExTVideo/1000/4116558765.mp4,Are there exactly two cats in the scene?,Geometric,"[yes, yes]","[885, 900, 910, 920, 975, 985, 990, 2380, 2400, 2410]",10,10,10,10,5,4,4,7,10,10,"[10, 10, 10, 10, 5, 4, 4, 7, 10, 10]",yes,,64056,2026-05-01T04:49:56.142979
Kalash,12,1,images/NExTVideo/1009/6420147083.mp4,Is the boy looking upwards?,Semantic,no,"[80, 100, 120, 130, 140, 145, 148, 150, 160, 180]",10,10,10,6,6,10,10,10,10,10,"[10, 10, 10, 6, 6, 10, 10, 10, 10, 10]",no,"Most of them are answerable, I would rephrase the question if the eyes of the boy are open or not, in the frames where the boy is looking down we can then say those are ambiguous because the eyes are not visible and hence they can be open or close",181567,2026-05-01T04:53:00.917329
Kalash,21,1,images/NExTVideo/1000/2594144360.mp4,Is the dog in front of the baby?,Geometric,yes,"[348, 355, 388, 395, 410, 415, 418, 419, 420, 421]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,The dog is always in front of the baby,79016,2026-05-01T04:54:23.123944
