user_id,trial_id,part,question,ratings_list,good_datapoint,comment,reaction_time_ms
malay,13,1,Is the ball closer to the salt shaker than the steel container?,"[10, 10, 9, 9, 9, 2, 1, 8, 10, 10]",yes,,126085
malay,33,1,Is the comb touching the onion,"[10, 10, 10, 10, 10, 1, 7, 10, 10, 10]",yes,,193598
malay,6,1,Is the plastic lid placed on the transparent tumbler?,"[10, 10, 10, 3, 4, 10, 10, 10, 10, 10]",yes,,148427
malay,32,1,Is the blue lid of the container touching the table?,"[10, 10, 10, 10, 10, 8, 8, 4, 10, 10]",yes,,147861
malay,14,1,Is the red cap attached to the popcorn container?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,seems too deterministic overall,121675
malay,9,1,Are there exactly 2 fruits?,"[10, 10, 10, 10, 10, 3, 3, 10, 10, 10]",yes,,112563
malay,36,1,Is there a coin in the image?,"[10, 10, 10, 10, 10, 3, 10, 10, 10, 10]",yes,,63221
malay,24,1,Is there an oil bottle on the table?,"[10, 10, 10, 10, 10, 4, 4, 10, 10, 10]",yes,,56805
malay,5,1,Are there exactly 3 cups?,"[10, 10, 10, 4, 1, 1, 10, 10, 10, 10]",yes,,109950
malay,29,1,Is the glass on the book?,"[10, 10, 10, 10, 2, 10, 10, 10, 10, 10]",yes,,141440
malay,11,1,Is the purple tumbler touching the table?,"[10, 10, 10, 10, 10, 10, 3, 10, 10, 10]",yes,,49797
malay,19,1,Is the door closed?,"[10, 10, 10, 10, 10, 2, 10, 10, 10, 10]",yes,,33119
malay,47,1,Is the drawer closed?,"[10, 10, 10, 10, 10, 3, 10, 10, 10, 10]",no,"the question can be ""is the drawer completely closed"" to make it specific",114386
malay,8,1,Is the onion being dropped into the footwear?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,feels too deteministic,161227
malay,16,1,Is there a white chess piece in the hands of the person?,"[10, 10, 10, 10, 1, 3, 10, 10, 10, 10]",yes,,52023
malay,37,1,Is the entire wooden block touching the wire?,"[8, 8, 7, 7, 10, 10, 10, 10, 10, 10]",yes,,113106
malay,3,1,Is the pen touching the book?,"[10, 10, 2, 10, 10, 10, 10, 10, 2, 10]",yes,,122790
malay,42,1,Is the person touching the white object?,"[10, 10, 10, 10, 10, 1, 10, 10, 10, 10]",yes,,130173
malay,40,1,Is the white object (on top of the grey cylindrical object) closer to the right eye than the left eye?,"[10, 10, 7, 5, 1, 5, 10, 10, 10, 10]",yes,,73940
malay,30,1,Is the iron on the red sweater?,"[10, 10, 10, 10, 3, 5, 10, 10, 10, 10]",yes,,133895
malay,12,1,Is the blue pen on the green book?,"[10, 10, 9, 9, 8, 3, 7, 10, 10, 10]",yes,,523452
malay,20,1,Is water being poured in the transparent container with the egg yolk in it?,"[10, 10, 10, 10, 8, 2, 6, 8, 9, 10]",yes,,370924
malay,48,1,Are there pencils in the box?,"[10, 10, 10, 10, 10, 2, 10, 10, 10, 10]",yes,,36463
malay,2,1,Is the pen closer to the green book than the jar?,"[8, 8, 7, 6, 4, 2, 4, 5, 7, 10]",yes,,113896
malay,28,1,Are there a pair of of white shoes beneath the pair of jeans?,"[8, 8, 8, 7, 7, 10, 3, 8, 9, 10]",yes,,99053
malay,35,1,Is the person holding the bottle?,"[9, 9, 9, 7, 5, 4, 7, 8, 9, 9]",yes,,123127
malay,50,1,Is the deodrant can on the green tile?,"[10, 10, 10, 10, 10, 3, 10, 10, 10, 10]",yes,,71869
malay,41,1,Is the orange object on the right of the green watch?,"[10, 10, 10, 10, 10, 3, 6, 7, 8, 10]",yes,,47074
malay,46,1,Is there water splatter beneath the wiping cloth?,"[10, 10, 8, 7, 7, 7, 7, 10, 10, 10]",no,bad image quality at ambigous points,163487
malay,49,1,Is the person holding a camera string?,"[7, 7, 7, 8, 8, 10, 10, 10, 10, 10]",yes,,56080
malay,23,1,Is there a pair of scissors on the desk?,"[10, 10, 10, 10, 10, 3, 10, 10, 10, 10]",yes,,63256
malay,21,1,Is there a pink highlighter with black cap beside the left shoe?,"[10, 10, 10, 10, 10, 6, 2, 6, 6, 6]",yes,,86257
malay,4,1,Is the red cup on the wooden board?,"[10, 10, 10, 7, 5, 8, 8, 8, 10, 10]",yes,,91821
malay,15,1,Are there exactly 3 blue cups on the table?,"[8, 8, 8, 8, 10, 8, 8, 8, 9, 9]",yes,,131073
malay,34,1,Is the finger touching the white container?,"[10, 10, 10, 10, 10, 3, 10, 10, 10, 10]",yes,,46777
malay,25,1,Are there 2 purses hanging on the black chair?,"[10, 10, 10, 10, 3, 10, 10, 10, 10, 10]",yes,,164525
malay,45,1,Is the brush being held by the person?,"[8, 7, 5, 3, 7, 9, 9, 10, 10, 10]",yes,,65869
malay,43,1,Is the person touching the rubiks cube?,"[10, 10, 10, 7, 7, 5, 8, 10, 10, 10]",no,"image quality seems pretty bad, hand looks unclear",121670
malay,44,1,Is the brown disk in contact with the persons hand?,"[10, 10, 7, 10, 10, 10, 10, 10, 10, 10]",no,image quality seems bad at the ambiguous points,72464
malay,17,1,Is there green leaf in the mixing bowl?,"[10, 10, 10, 10, 10, 7, 7, 8, 9, 10]",yes,,139653
malay,18,1,Is the fruit placed on top of the white cup?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,seems too deterministic,64276
malay,31,1,Is the person holding the wallet?,"[10, 10, 10, 8, 6, 6, 9, 10, 10, 10]",yes,,110039
malay,39,1,Is green glass in contact with the table?,"[10, 10, 10, 10, 3, 10, 10, 10, 10, 10]",yes,,46113
malay,27,1,Does the container have its lid on?,"[10, 10, 10, 7, 10, 7, 7, 8, 8, 10]",yes,,61619
malay,26,1,Is the Iron placed on the blue shirt?,"[10, 10, 10, 8, 7, 5, 7, 10, 10, 10]",no,the iron is not completely visible in all pictures,109080
malay,10,1,Are there exactly 2 tumblers?,"[10, 9, 8, 7, 4, 6, 8, 10, 10, 10]",yes,,109274
malay,22,1,Is there a knife and spoon on the blue sofa?,"[10, 10, 10, 10, 2, 4, 10, 10, 10, 10]",yes,,45449
malay,1,1,Is the ball closer to the pen as compared to the book?,"[10, 8, 8, 3, 2, 3, 8, 10, 10, 10]",yes,,61561
malay,7,1,Is there an adapter beneath the paper cup?,"[10, 10, 3, 4, 8, 10, 8, 7, 4, 10]",yes,,96758
