user_id,trial_id,part,video_path,question,category,gt_answer,frames,frame_0_rating,frame_60_rating,frame_110_rating,frame_160_rating,frame_226_rating,frame_300_rating,frame_320_rating,frame_350_rating,frame_400_rating,frame_440_rating,ratings_list,good_datapoint,comment,reaction_time_ms,timestamp,,,
Saksham Maitri,7,1,images/NExTVideo/1203/3798468368.mp4,Is the child standing on the chair?,Semantic,no,"[0, 60, 110, 160, 226, 300, 320, 350, 400, 440]",10,10,3,3,10,10,10,10,10,10,"[10, 10, 3, 3, 10, 10, 10, 10, 10, 10]",yes,,74307,2026-04-30T16:33:30.702715,,,
Saksham Maitri,51,1,images/NExTVideo/1103/2831643292.mp4,Are there exactly 2 men in the scene?,Geometric,yes,"[77, 80, 82, 85, 88, 90, 92, 95, 98, 100]",10,10,10,5,7,10,10,10,10,10,"[10, 10, 10, 5, 7, 10, 10, 10, 10, 10]",yes,,58783,2026-04-30T16:34:32.717976,,,
Saksham Maitri,27,1,images/NExTVideo/1000/3380344744.mp4,Is the baby wrapped with a piece of cloth?,Semantic,no,"[460, 465, 468, 470, 474, 478, 482, 485, 490, 495]",10,10,10,6,6,5,9,10,10,10,"[10, 10, 10, 6, 6, 5, 9, 10, 10, 10]",yes,,51097,2026-04-30T16:35:27.036593,,,
Saksham Maitri,21,1,images/NExTVideo/1000/2594144360.mp4,Is the dog in front of the baby?,Geometric,yes,"[348, 355, 388, 395, 410, 415, 418, 419, 420, 421]",10,10,3,3,3,10,10,10,10,10,"[10, 10, 3, 3, 3, 10, 10, 10, 10, 10]",yes,,75017,2026-04-30T16:36:45.263354,,,
Saksham Maitri,12,1,images/NExTVideo/1009/6420147083.mp4,Is the boy looking upwards?,Semantic,no,"[80, 100, 120, 130, 140, 145, 148, 150, 160, 180]",10,10,10,10,10,3,7,10,10,10,"[10, 10, 10, 10, 10, 3, 7, 10, 10, 10]",yes,,85974,2026-04-30T16:38:14.441386,,,
Saksham Maitri,39,1,images/NExTVideo/1001/3098102850.mp4,Are there exactly two cats in the scene?,Geometric,yes,"[435, 445, 455, 465, 470, 475, 480, 500, 505, 525]",10,10,10,10,10,8,8,10,10,10,"[10, 10, 10, 10, 10, 8, 8, 10, 10, 10]",yes,,69443,2026-04-30T16:39:27.106840,,,
Saksham Maitri,34,1,images/NExTVideo/1000/4227464140.mp4,Is the man looking at the television?,Semantic,yes,"[490, 500, 502, 504, 506, 508, 510, 512, 515, 520]",10,10,10,7,4,2,7,10,10,10,"[10, 10, 10, 7, 4, 2, 7, 10, 10, 10]",yes,,40510,2026-04-30T16:40:10.834950,,,
Saksham Maitri,19,1,images/NExTVideo/0101/4846820256.mp4,Is the boy at the left of the man?,Geometric,yes,"[120, 122, 124, 126, 134, 155, 157, 158, 159, 160]",10,10,10,10,10,8,10,10,10,10,"[10, 10, 10, 10, 10, 8, 10, 10, 10, 10]",no,Technically the answer is deterministic since the question didn't specified if it means exact left or leftside wrt the man,132777,2026-04-30T16:42:26.854331,,,
Saksham Maitri,13,1,images/NExTVideo/1009/6663748603.mp4,Is the man looking at the book in his hand?,Semantic,no,"[50, 55, 60, 64, 65, 66, 70, 75, 78, 80]",10,10,10,7,10,10,10,10,10,10,"[10, 10, 10, 7, 10, 10, 10, 10, 10, 10]",yes,,65794,2026-04-30T16:43:35.909120,,,
Saksham Maitri,25,1,images/NExTVideo/1000/3298675598.mp4,Is the insect on the palm?,Geometric,yes,"[550, 560, 565, 568, 585, 590, 595, 600, 603, 607]",10,10,10,10,7,10,10,10,10,10,"[10, 10, 10, 10, 7, 10, 10, 10, 10, 10]",yes,,105950,2026-04-30T16:45:25.107057,,,
Saksham Maitri,56,1,images/NExTVideo/1104/4839268164.mp4,Is the boy drinking from the yellow cup?,Semantic,[no no],"[268, 270, 273, 278, 283, 284, 286, 290, 294, 299]",10,10,10,10,7,7,10,10,10,10,"[10, 10, 10, 10, 7, 7, 10, 10, 10, 10]",yes,,197465,2026-04-30T16:48:45.793415,,,
Saksham Maitri,23,1,images/NExTVideo/1000/3273928480.mp4,Is the dog at the left of the woman?,Geometric,yes,"[300, 303, 306, 308, 310, 315, 318, 328, 332, 335]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,"The dog is either in the left or its not (front + right), so the answer is deterministic",68178,2026-04-30T16:49:57.185122,,,
Saksham Maitri,36,1,images/NExTVideo/1000/4550392934.mp4,Are both the birds standing in water?,Semantic,no,"[1210, 1218, 1234, 1236, 1238, 1240, 1245, 1248, 1250, 1252]",10,10,10,10,4,10,10,10,10,10,"[10, 10, 10, 10, 4, 10, 10, 10, 10, 10]",yes,,45213,2026-04-30T16:50:45.633339,,,
Saksham Maitri,14,1,images/NExTVideo/1009/8612900766.mp4,Are there exactly two men in the scene?,Geometric,yes,"[370, 390, 400, 410, 460, 480, 600, 610, 615, 620]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,144627,2026-04-30T16:53:13.500909,,,
Saksham Maitri,56,1,images/NExTVideo/1104/4839268164.mp4,Is the boy drinking from the yellow cup?,Semantic,[no no],"[268, 270, 273, 278, 283, 284, 286, 290, 294, 299]",10,10,10,8,6,8,8,10,10,10,"[10, 10, 10, 8, 6, 8, 8, 10, 10, 10]",yes,,54139,2026-05-01T04:53:08.266253,,,
Saksham Maitri,30,1,images/NExTVideo/1000/3664990087.mp4,Are there exactly two men in the scene?,Geometric,"[yes, yes]","[314, 316, 319, 322, 325, 328, 330, 333, 336, 345]",10,10,10,10,8,10,10,10,10,10,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10]",no,"Question phrasing can be a bit more detailed , like are there exactly 2 people in the scene because the constraint of men is making this confusing , like men and women look same for the blue dress person",166847,2026-05-01T04:55:58.305082,,,
Saksham Maitri,34,1,images/NExTVideo/1000/4227464140.mp4,Is the man looking at the television?,Semantic,yes,"[490, 500, 502, 504, 506, 508, 510, 512, 515, 520]",10,10,10,10,5,5,10,10,10,10,"[10, 10, 10, 10, 5, 5, 10, 10, 10, 10]",yes,,58050,2026-05-01T04:56:59.549097,,,
Saksham Maitri,15,1,images/NExTVideo/0101/3122394310.mp4,Is the man at the left of the woman?,Geometric,yes,"[600, 610, 615, 620, 630, 635, 645, 675, 680, 685]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,"It would be helpful if the question specified for the person whose perspective we have to take into account , like if its wrt the woman , the answer is pretty deterministic for every frame",111598,2026-05-01T04:58:54.358663,,,
Saksham Maitri,12,1,images/NExTVideo/1009/6420147083.mp4,Is the boy looking upwards?,Semantic,no,"[80, 100, 120, 130, 140, 145, 148, 150, 160, 180]",10,10,10,7,7,10,10,10,10,10,"[10, 10, 10, 7, 7, 10, 10, 10, 10, 10]",yes,,52508,2026-05-01T04:59:50.071943,,,
Saksham Maitri,51,1,images/NExTVideo/1103/2831643292.mp4,Are there exactly 2 men in the scene?,Geometric,yes,"[77, 80, 82, 85, 88, 90, 92, 95, 98, 100]",10,10,10,3,3,8,10,10,10,10,"[10, 10, 10, 3, 3, 8, 10, 10, 10, 10]",yes,,84490,2026-05-01T05:01:17.764028,,,
Saksham Maitri,45,1,images/NExTVideo/1101/3483300439.mp4,Is the military lady shaking hands with the military man?,Semantic,yes,"[273, 274, 275, 278, 279, 280, 281, 285, 287, 290]",10,10,10,10,7,7,10,10,10,10,"[10, 10, 10, 10, 7, 7, 10, 10, 10, 10]",yes,,34221,2026-05-01T05:01:55.177026,,,
Saksham Maitri,33,1,images/NExTVideo/1000/4116558765.mp4,Are there exactly two cats in the scene?,Geometric,"[yes, yes]","[885, 900, 910, 920, 975, 985, 990, 2380, 2400, 2410]",10,10,10,10,10,5,5,10,10,10,"[10, 10, 10, 10, 10, 5, 5, 10, 10, 10]",yes,,178487,2026-05-01T05:04:56.894719,,,
